发布时间,问题,回答
1297682245,知乎头像怎么换不了了？为什么不自己存储头像呢？," 头像不能换，请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a><br>不自己存储，请参考 <a href=""http://www.zhihu.com/question/19560733"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0733</span><span class=""ellipsis""></span></a> "
1297693489,知乎是否可以将用户被赞成、被感谢、被邀请的数据展现出来？, 感谢提供这个建议。<br>现在用户的个人页面还不太清晰，一些有价值的数据也没有体现（比如提到的被赞成数量），我们正在重新设计它，请静待变化。 
1297697216,知乎上的开放性问题在增多么？, 是的，我也发现有这样的趋势。<br>开放性的问题容易引起讨论，引发不同角度的有价值声音，这些信息在搜索引擎上是很难发现的。说明知乎用户在「恰当」地使用知乎，这么看，是好现象。 
1297697489,知乎首页的噪音是否太大？, 首页的改进会是一个长期持续的过程，目前确实存在很多噪音。<br><br>「同一问题因为不用原因多次出现」这个问题的症结之一还是在于关注了过多的人，加上知乎的实时+通知系统，会在短时期内引起一个不错问题上的数次动作。试想如果在微博上，你关注了非常多的人，看到同一条转发消息的概率肯定是很高的。<br><br>「忽略此问题」已经排上开发日程了。 
1297701577,知乎头像总么设置?知乎的问题有没有领域分类?素偶太笨末?,<b>头像功能已恢复，快换一个吧。</b><br><br>知乎问题有话题分类。<br>你不笨，是我们产品要改进。<br>下次别一块问这么多了，一个一个问吧。 
1297734876,知乎如何修改个人头像？," 上传功能已经恢复，具体操作方法请看 @范泽一 同学的说明。<br><br>这次事件的详细情况请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a> "
1297741235,知乎好多图片被yupoo给删了还是流量用完了？," 知乎的图片是被删除了，是因为之前的头像上传代码存在安全问题，导致我们的「又拍」账户被非正常访问了，进入账户的人做了错误的操作，不是恶意操作。<br><br>安全问题已修复，上传功能已经恢复。请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a> "
1297749540,知乎是否能接受开放性的问题？," 知乎接受开放性问题。<br>知乎鼓励用户多贡献有价值的观点和经验。<br><br>另可参考：<a href=""http://www.zhihu.com/question/19561070"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">1070</span><span class=""ellipsis""></span></a> "
1297921492,知乎已注册用户可以修改电子邮件地址吗？, 暂时还不行，未来是可以的。 
1297968089,创业早期，你最兴奋的事情有哪些？还记得吗？, 兴奋的事情不少，包括：<br><ul><li>找到志同道合的团队成员</li><li>想出一个自认完美的产品方案</li><li>产品冲刺时，大家一起工作到凌晨</li></ul><br>要说「最」兴奋的还是产品上线，并且开始有人使用了。 
1298018121,如果答案被投了“没有帮助”而被隐藏了，怎样可以让这个答案重新浮出？, 「没有帮助」是一个相对硬性的指标，目前是不能通过投赞成票重新浮现的。<br><br>以后会加入赞同票的计算，以及跟管理员申述的方式，来重现答案。 
1298362836,我印象见过你的头像，我们哪里认识吗？, 呵呵，应该没有，但这个头像用的比较多，有可能看过。<br><br>另，「追词」是个很棒的产品。 
1298428901,Chrome Omnibox 可以怎么玩？, 先抛砖。<br><br>未来在 Chrome 中输入：Chrome 过去1年最重要的变化？ 知乎(或者zh)<br>我们将带你进入问题页面，如果没有类似问题，就会直接提问。<br><br>这个东西带来的想象力是，你可以用浏览器简单快捷的做不少事情，比如发微博，就输入「wb 知乎很给力」，京东购物，就输入「jd买 iPhone 4」。<br>但很可能是一个相对小众的工具。 
1298602623,知乎上如何找人？, 顶部搜索框找人是对的，没有结果是现在服务器负载高、响应慢导致的，这两天将会改善，请谅解。 
1298778470,知乎是否需要一个list的功能？, 知乎很快将有一个专家级人物的 List 功能，可以一键关注他们。请关注。 
1298826142,知乎在 2011 年 2 月 28 日凌晨 5 时的这次升级，主要有哪些重大更新？,<b>更新：</b><br><b>这次升级基本完成，包括：</b><br><ul><li><b>通知优化，合并了相似的条目</b></li><li><b>搜索优化</b></li><li><b>首页可以「不感兴趣」一个问题，它就不会再出现在首页了</b></li><li><b>提问引导的改善，针对问题会推荐一些话题，也会推荐潜在的回答者</b></li><li><b>通过「问题重定向」可以合并重复的问题</b></li><li><b>有了全站通知，以后升级维护不用单开问题了</b></li><li><b>单独推荐一些「你或许能回答」的问题</b></li><li><b>「你可能感兴趣的人或话题」算法改善</b></li><li><b>整体性能优化</b></li></ul><br><b>页面加载速度做了优化，但受制于目前硬件条件，体验还不明显，这个很快也会改变。</b><br><b>另外，今早上线的过程中，前端还是遇到一些问题，现在我们的工程师正在加紧修改，请大家把遇到的问题提交到评论中，谢谢！</b><br><br>知乎有段时间没做大的更新了，因为团队成员在辛苦的调整、改进各功能模块，还有一些我们认为急迫需要的功能。到今天（2月28日），工作也算小有成果，将会在凌晨 5 点，最少用户使用的时候上线，会短暂停机，请谅解。 
1298874693,你觉得知乎这次升级怎么样？, 速度响应上的体验还不好，这是下阶段的重要攻坚。<br><br>多了一些机器算法推荐，比较初级，还会随着数据增多不断完善。 
1298883605,知乎的网站速度怎么这么慢？, 是的。<br>知乎现在的页面渲染速度比较慢，是因为一些组件的计算很复杂，而我们的缓存系统还不完善，加上有部分实时性的需求。<br><br>团队正在加紧改善中。 
1299064028,在团队眼里，知乎比百度知道、爱问、搜搜问问的优势在什么地方？, 我不太了解其他几个团队的状况，简单说自己认识中知乎团队的优势在：<br><ul><li>对知乎产品的一致认识</li><li>相互配合的默契，我们并不是「新」团队<br></li><li>小、快、灵</li></ul>
1300079735,误点了“不感兴趣”，怎么取消呢？, 我们会加入「不感兴趣」的名单管理功能，敬请期待。 
1300081743,点击了“关注”，为什么还能点击“不感兴趣”？, 这两个动作不是互斥的。<br>「关注」会让你收到新答案的通知。<br>「不感兴趣」会让这个问题不再出现在你的首页。<br><br>既「关注」，又「不感兴趣」，我们会认为你希望保持对此问题的跟踪，但不想它侵入你的首页。 
1300100850,酷6创始人李善友辞去CEO，你怎么看酷6将来的发展？, 没太多关注酷6，从媒体给的信息看，酷6 应该会走咨询类的方向了，对这个方向不太看好，估计会越来越边缘化。 
1300180399,知乎在使用 Tornado 做长连接服务么？, 是的。 
1300182556,怎么样才能让自己服务器发出的邮件不被 Gmail、Hotmail、163、QQ 等邮箱放入垃圾箱？," 对于新建邮件服务器，这是一个系统工程，基本要做到以下这些工作：<br><ul><li>给邮件服务器分配一个静态 IP 地址</li><li>确保这个 IP 地址不在反垃圾邮件组织的黑名单中，比如 Spamhaus PBL （<a href=""https://link.zhihu.com/?target=http%3A//www.spamhaus.org/pbl/index.lasso"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">spamhaus.org/pbl/index.</span><span class=""invisible"">lasso</span><span class=""ellipsis""></span></a>）</li><li>做反向解析，参考 <a href=""https://link.zhihu.com/?target=http%3A//www.tech-faq.com/reverse-dns.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">tech-faq.com/reverse-dn</span><span class=""invisible"">s.html</span><span class=""ellipsis""></span></a></li><li>添加 MX 记录</li><li>记录发送到这些邮件服务商的频次，一旦被他们放入黑名单，可以找到原因</li></ul><br>如果发出的邮件是被用户设为 Spam，就要自我反省咯。 "
1300188699,有什么方法可以骗过公司用来统计考勤的指纹打卡器？, 我出一个不用指纹套的主意，在初期录入指纹的时候，让能帮你打卡的同事录入。 
1300248226,知乎更喜欢 Sheldon 型用户还是 Howard 型用户？, 个人更喜欢认真回答、追求真知的用户，如果能以诙谐的方式与他人分享，那就完美了。<br><br>有一点要说的，就是讨论不等于「论战」，论论就好，战就免了。 
1300342192,豆瓣网目前一共用了多少台服务器？," 从2009年 @洪强宁 的一个豆瓣架构分享[1]中得到一些信息：<blockquote>23台普通PC服务器(1U*15/2U*8)<br>23M动态请求/天，峰值500~600/sec<br>2.9M注册用户，约1/4活跃用户</blockquote>2010年第三季度的另一数字[2]：<blockquote>注册用户数：4100万<br>活跃用户数：2000万<br>日均pv：3000万</blockquote>从数据上看，日均pv跟动态请求不同，但也没有用户数量增长那么厉害。大致猜测，目前的服务器数量应该超过 50 台，按照豆瓣的技术习惯，会争取榨取每台服务器的资源，所以也不会超出太多。<br><br>[1] <a href=""https://link.zhihu.com/?target=http%3A//www.slideshare.net/hongqn/qcon-beijing-2009"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">slideshare.net/hongqn/q</span><span class=""invisible"">con-beijing-2009</span><span class=""ellipsis""></span></a><br>[2] <a href=""https://link.zhihu.com/?target=http%3A//wenku.baidu.com/view/62e7cc3610661ed9ad51f3cf.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">wenku.baidu.com/view/62</span><span class=""invisible"">e7cc3610661ed9ad51f3cf.html</span><span class=""ellipsis""></span></a> "
1300420006,知乎服务器从 Linode 迁回国，主要是基于哪些方面考虑？, Linode 只是一个早期的过渡方案，我们不需要考虑服务器相关问题，能很方便快速的搭建出服务，其网络带宽也足够访问。<br><br>搬回国内是必然的选择，知乎随规模扩大，肯定会拥有自己的服务器，也需要国内更好的带宽。 
1300691596,V2EX 是否是知乎的竞争对手？, V2EX 和 知乎 从产品形态、定位目标、用户群体上都有很多不同，谈何竞争。<br><br>Btw.  Livid 的回答是真诚的，他对知乎的帮助不少。 
1301541687,知乎会像 Quora 那样在汉语语法和句式方面做深入挖掘吗?, 这个对现在的知乎团队比较困难，最重要的是，投入产出比会比较失衡。<br><br>不过在推荐算法方面，我们会持续改善。 
1301623497,运维9年的 BBS 想转型垂直话题社交网络，如何建立成熟团队和构架可行方案？, 这个问题有点大，涉及的东西很多。<br><br>简单的一个建议是，全力找一个技术靠谱的合作伙伴，他要有构建类似系统的经验。<br>外包技术是解决不了问题的。 
1301626751,对于五到十人小型团队来说，什么样的协作开发方式比较合适？, 对于小团队的快速开发，有几点建议：<br><ul><li>快速确定功能需求，工程师决定细节</li><li>进度上墙，每天在开发中、待开发、已开发的功能一目了然</li><li>大家面对着坐在一起，有任何问题直接讲出来</li><li>有且仅有一个人把控全局进度，随时调整任务分配</li><li>用 Git</li></ul>
1301627123,知乎能否方便生成到某个问题特定回答的链接？, 每个答案都应该有一个独立的链接，这个很重要。<br><br>不久就会有了。 
1301628589,关于愚人节有什么趣事？," 就在今天，我看到 @向若珲 同学通过 Path 分享的照片显示「<b>Steve, Welcome to IW!!</b>」<br><br>然后我就去问「Jobs 来工场了？」<br><br>然后就 。。。 "
1302054714,知乎在 2011 年 4 月 6 日凌晨 5 时的这次升级，主要有哪些重大更新？, 这次更新主要包括：<br><ul><li>增加私信功能</li><li>用户能删除自己提出的问题，前提是问题上还没有答案</li><li>首页 Feed 会自动加载两屏，无须点击「更多」</li><li>问题增加「锁定」状态，锁定的问题将不能增加新答案 （目前仅管理员可操作）</li><li>「设置」中可以更新个人简介和头像</li><li>问题推荐话题的算法优化</li><li>推荐问题的算法调整</li><li>一键删除所有草稿</li><li>搜索优化</li><li>构建防止社区内容水化的基础机制</li><li>调整用户邀请码发放的机制</li><li>问题页面 UI 微调</li><li>部分页面使用新的前端架构 V2</li><li>若干 bug fix</li></ul>
1302079155,调整用户邀请码发放的机制，这个怎么理解，是不是说知乎开始放开邀请码了？, 随着知乎用户的增多，我们的数据在增加，之前的算法已经不适用了，要做一个更完整的算法设计。 
1302242606,北京哪里的羊蝎子最好吃？,"<b>芦月轩</b>。<br>是连锁经营，吃过东直门、西二旗（<a href=""https://link.zhihu.com/?target=http%3A//www.dianping.com/shop/2958046"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">dianping.com/shop/29580</span><span class=""invisible"">46</span><span class=""ellipsis""></span></a>）两家分店，都很不错，老汤、味正、实惠。 "
1302738279,知乎的匿名是不是真正的匿名？会不会被泄露？," 肯定是真正的匿名。<br><br>请参考我曾经的回答：<a href=""http://www.zhihu.com/question/19552717#4853"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">2717#4853</span><span class=""ellipsis""></span></a> "
1303288179,为什么知乎网还在内测阶段其访问速度就可以达到人神共愤的境界呢？是不是拖欠开发员工的工资还是得罪了哪个黑客？, 非常抱歉，知乎的各位网友。<br><br>前天（4月18日）开始，我们的服务器遭遇负载危机，到昨天晚上10点，工程师们一直在奋战 - 调整架构、增加设备、优化系统，这期间知乎的访问速度不稳定，部分用户甚至打不开页面。<br>没发通知，是因为我们想在较短时间内搞定，怎耐各种状况突发而至。<br><br>总之，是我们的错误给大家带来不好的体验，再次向各位诚挚道歉，也谢谢你们的耐心和支持。 
1303537777,在当下的环境下，一两个人的小团队适合做怎样的网站，如何才能较快的赚取创业的第一桶金？, 只能尝试给你一个建议：<br>把所有你能想到的点子放到一个列表上，计算实现每一个会用多少时间，看哪些是你能在 3 周内完成原型的，哪些是能在 2 个月内有盈利的，最后跟你团队的人投票选择最终的那个。 
1303631417,知乎怎么处理已失效或过期的问题?, 知乎目前没有对「过时的问题」做特殊处理，基本可以认为，这些有时效性的问题随着时间推移，被关注的越来越少，慢慢就沉底了。<br>但这些问题并非完全无意义，如 @王健飞 所说，它会承载一些历史信息。 
1303631890,知乎从“常青藤”豆瓣身上，能看到些什么？学到些什么？, 专注和坚持。<br><br>保持自己独有的节奏。 
1303632548,知乎的推荐算法参考什么推送问题？, 问题的推荐考虑了以下几个因素：<br><ul><li>关注的问题</li><li>回答过的问题</li><li>获得的赞同票</li><li>关注的话题</li></ul><br>用户的推荐其实比较简单，就是你关注的用户，他们关注的那些人。 
1303825825,杜潇（disinfeqt）是谁？, 跟「兔纸」一起配合工作很欢快，他总能给你一些新鲜的想法，借用 Livid 的描述方式，「兔纸」是一个有信息量的人。<br>没有他，知乎的第一版不会出来的这么快。<br><br>个人情况我知道的不多，就听说他也被称为「某某公子」 
1303969835,为什么选择了匿名回答后，在自己的页面还是能看到回答过的那条问题？还是其实只有我自己看得到其他人看不到？, 是的，只有你能看到。 
1303981923,Yupoo 的图片存储服务质量如何？, 又拍在国内的图片存储服务中，是比较突出的。<br><br>图片在全国大部分节点访问速度不错，服务也还稳定，知乎使用近半年来，有一次少量用户访问出现问题，貌似是 CDN 服务异常。API 文档是相对薄弱的环节，高级功能需要客服人员的帮助。 
1304346183,请问下知乎是怎么不刷新通知用户的消息的? websocke吗t?, @Crazybaby，是 Comet。 
1304486222,"知乎的问题数量和答案数量大规模增长同时,如何保证问题以及答案的高质量?你们做内容审核的反应速度是什么样的?", 保持问题和答案的质量，是我们的持续工作，目前主要在防止内容水化上下功夫。 
1304588064,知乎首页 feed 算法更新了什么？（2011年5月5日）,今天首页 feed 确实做了更新，将话题产生的 feed item 加权了。
1304816483,知乎采用啥语言，啥框架？," 使用 Python 开发的。<br>请见 <a href=""http://www.zhihu.com/question/19558038"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">8038</span><span class=""ellipsis""></span></a> "
1306331744,知乎如何处理《你对知乎有哪些建议或反馈》中用户提出的建议或反馈？,知乎团队有专人整理其中的建议和反馈，基本合理的需求都会加入我们的 Feature List，更新到线上的时间则要视整体计划安排。<br><br>反馈比较多的问题会更被重视。
1306380337,请教个问题，单ip如果有大批邮件要发送（用户订阅，正常的网站提示，非垃圾邮件）如何避免被定义为垃圾邮件，有什么解决方案没？知乎是怎么做到的？," 一些有帮助的信息：<a href=""http://www.zhihu.com/question/19574247#23163"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1957</span><span class=""invisible"">4247#23163</span><span class=""ellipsis""></span></a><br>发送频率肯定是重点考虑的。<br><br>知乎目前使用第三方的邮件服务。 "
1306634285,很好奇知乎的图片是如何存储在yupoo上的？, 使用又拍的 API。 
1307765827,可以了解一下知乎的服务器托管在哪个IDC吗？我最近也在寻找合适的机房来托管服务器，谢谢给一个好些的IDC的建议吧。, 目前知乎托管在酒仙桥兆维机房。<br>其实机房很难比较出绝对的好坏，可从机房线路、技术服务、价格方面综合比较。 
1308380437,好像不能通过搜索个人介绍来找人？是否考虑添加该功能？, 这个暂时没有考虑，不过后面会有其他办法找到想找的人。 
1312803410,挺不好意思的，可我真的弄不明白站内邀请是个什么东东！解释一下呗。, 我们的这个名字确实有些歧义。其实就是邀请知乎的用户回答问题。 
1314599569,知乎有官方 Android 的客户端吗？,"<b>更新</b>：<br><br>2013 年 5 月 3 日，知乎官方 Android 客户端发布。<br><br>首发地址：<a href=""https://link.zhihu.com/?target=http%3A//www.wandoujia.com/apps/com.zhihu.android"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">知乎安卓版
        v1.0.0.0
    免费下载</a>"
1316220506,知乎分享到新浪微博时重复分享的 bug（2011年9月16日）是怎么出现的？,首先，向你和遭遇此问题的其他用户道歉。这是一个严重 bug。  <br><br> 我把整个情况说一下： <br><b>9月7日凌晨</b>，知乎做了一些功能和代码更新，在那次更新中，我们调整了一些队列数据的存储（包括redis中的微博分享队列），为了不停机更新，我们做了一些复杂的操作（包括主从同步和切换），也因此埋下了问题，从那个时候开始，队列中所有已经发送过的微博都没被删除，但它们也不会被读取出来。 <br><b>9月16日凌晨</b>，要做功能更新前的测试，我们开启了微博测试，操作中将读取的队列错误的连接到线上系统，这直接导致了之前没有被删除的微博分享内容又重新发送一次。 <br> 我们在16日上午11点多发现这个问题，马上开始处理，这个原因查找过程比较曲折，耗费了不少时间，到下午3点多，我们终于解决这个 bug，期间确实发生一些自动重复分享的情况（包括我们团队成员的微博）。  <br><br> 这个 bug 是两个错误导致的，第一个埋下炸弹，第二个是导火索，此事对我们教训深刻，内部昨天已开始反思。  <br><br> 再次向知乎的用户道歉。请相信，知乎绝不做出<b>偷发微博</b>这种事情。
1317043132,"可以打招呼吗，Hi , 002，我是昨天面试的王坤，过来混个脸儿熟。问个问题吧，看你的小胡子很有文艺范儿，我要是能加入的话也冒起胡须吗，o(∩∩)o...   ？",:) 胡子不是故意留的，不好剪而已。
1322811298,请问知乎有没有手机用户端？可以在手机上问答。如果有，支持塞班否？,知乎目前只有一款iPhone官方客户端，且暂时还不支持问答功能，我们还在加紧完善中。  <br> 很抱歉，塞班平台的手机客户端暂时还没在开发计划中。   <br><br> 建议你现在用手机浏览器访问知乎。
1324009503,Nginx 与后端使用 SSL 传输，用户访问 Nginx 并未使用 SSL，导致能访问，但登陆不了网站？如何解决这个问题？,"从这条微博来解决其问题比较难，因为包含的信息量有限，只能简单说一下：<ul><li>访问 <a href=""https://link.zhihu.com/?target=http%3A//yyets.com/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">yyets.com/</span><span class=""invisible""></span></a> ，是普通 http，没有走 https，所以这里说的「NGINX与后端进行SSL传输」应该是指 Nginx 与 后端（Application Server） 的通信，不知为何会使用此种方式，应该是从安全考虑，服务跨外网访问，问题也应该在 Nginx 与 Application Server 的通信上</li><li>要做的排查包括：Nginx 配置、Nginx 签名、上一次正常工作的配置</li></ul>现有的信息太少，只能做出这样的初步判断，如果提供更多信息，更有助于解决问题。"
1324129240,知乎能以 ZAKER 的方式呈现吗？,这是一个好提议，我们会仔细考虑的。
1325498361,你是知乎第二位员工吗？网站的形式很好，但内容不适合我怎么办？,可以通过私信方式直接交流。
1333255535,2012 年愚人节各大网站有哪些彩蛋？,"<b>Gmail Tap</b><br>Tap into the future of writing emails on the go.<br><br><a href=""https://link.zhihu.com/?target=https%3A//mail.google.com/mail/help/promos/tap/index.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">https://</span><span class=""visible"">mail.google.com/mail/he</span><span class=""invisible"">lp/promos/tap/index.html</span><span class=""ellipsis""></span></a><br><br><figure><noscript><img src=""https://pic4.zhimg.com/50/d0450ea18810a5554bb1dd8973b1f355_720w.jpg?source=c8b7c179"" data-rawwidth=""260"" data-rawheight=""483"" class=""content_image"" width=""260""></noscript><img src=""data:image/svg+xml;utf8,&lt;svg%20xmlns='http://www.w3.org/2000/svg'%20width='260'%20height='483'&gt;&lt;/svg&gt;"" data-rawwidth=""260"" data-rawheight=""483"" class=""content_image lazy"" width=""260"" data-actualsrc=""https://pic4.zhimg.com/50/d0450ea18810a5554bb1dd8973b1f355_720w.jpg?source=c8b7c179""></figure>"
1337316951,为什么知乎 Android 客户端做的那么粗糙，而且带有广告？,截止到目前，知乎没有出品过 Android 客户端。
1347434065,知乎为什么撤掉了「领域」？,<b>「领域」其实一直存在。</b><br><br>去年下半年，知乎上的内容逐步丰富起来，从以 互联网·创业·投资 为主，到 音乐·电影·图书，生活·旅游，酷知识，商业，体育，职业·成长，社会·人文 几个领域的长大，我们觉得有必要用更好的产品形态沉淀和展现它们，「领域」这个功能应运而生。<br><br>经过这半年多的应用，「领域」功能已经不能承载知乎日益丰富的内容，八大领域不能涵盖知乎的大部分好内容，知友们也不能扩充更多领域。<br><br>这个时候，我们想到了话题，它不是更自然地承载知乎好内容的地方吗。话题有父子结构，当子话题的内容流动到其父话题，这个父话题不就是一个大领域吗，不信你去看「互联网」话题，它涵盖了这个领域的所有内容。<br><br>所以，我们在顶栏导航用「话题」取代了「领域」。<br><br>知乎的大部分同学正在为「话题」更好体验而努力，一定会让你在「话题」中发现更大的世界：）
1355486920,安江泽是谁？,"<br>知乎团队的工程师一枚。<br><br>7 号海盗。<br><br>外形俊朗，已婚。<br><br>韧性很强。进知乎一波三折，两次面试失利＋一次试用期，最后是在他顽强的坚持下，挤进海盗队伍。<br><br>饱满的上进心 ＋ 飞速的自我提升。他绝对是知乎成长最多的同学。<br><br>知乎冷笑话二号人物（一号是 <a class=""member_mention"" data-hash=""6733f12c60e7e98ea7491f20de46f79e"" href=""https://www.zhihu.com/people/6733f12c60e7e98ea7491f20de46f79e"" data-hovercard=""p$b$6733f12c60e7e98ea7491f20de46f79e"">@周源</a> ）。<br><br>「<b>做好产品就像是和美女做爱，做烂产品就像是和熊做爱。</b>」 <a class=""member_mention"" data-hash=""b6f80220378c8b0b78175dd6a0b9c680"" href=""https://www.zhihu.com/people/b6f80220378c8b0b78175dd6a0b9c680"" data-hovercard=""p$b$b6f80220378c8b0b78175dd6a0b9c680"">@黄继新</a> 答案[1]中的这句话是江泽说的。<br><br>[1] 知乎团队是一个怎样的团队  <a href=""http://www.zhihu.com/question/19712388/answer/12764266"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1971</span><span class=""invisible"">2388/answer/12764266</span><span class=""ellipsis""></span></a>"
1592445375,如何评价北京(西安)梦诚科技?,<p>谢邀。</p><p><br></p><p>我对梦诚的业务并不懂，是另一个行业，不过刚好认识他们的一位联合创始人。</p><p><br></p><p>我们会不定期聚一下，所以是看着此兄如何从一个想法开始，一步一步将公司打造到目前状况。同为创业者，深知创业维艰，此中的各种苦也只能喝酒时拿来自嘲一番。</p><p><br></p><p>这是此兄的第一次创业，但是很不错的创业者，坚韧、开放、学习能力强，举两件小事，一是在公司现金遇到困难的时候，他会考虑抵押房产、拉下颜面四处借钱，想尽所有办法活下来；二是自从他创业以后，我们一帮人聚会，他的问题都是最多，每次还都是准备一批新问题，不过能发觉，再有人提起之前的问题，他会变成专业的回答人。</p><p><br></p><p>他们公司看起来是发展越来越好了，从一穷二白，到业务不断，从十几杆枪到上百人团队。希望此兄能坚持初心，实现他对公司的愿景。</p><p><br></p><p>利益相关：梦诚公司联合创始人的朋友</p>
